polygon_id,polygon_name,point_id,point_name,point_wikidata_id
7958144,Macroregiunea Patru,463282694,Dimulești,Q12103279
7958144,Macroregiunea Patru,137967185,Orșova,Q750243
10366929,Dorobanțu,463187839,Ardealu,Q12078980
7958144,Macroregiunea Patru,463296185,Foleștii de Jos,Q12165899
7958144,Macroregiunea Patru,463274181,Grădiștea,Q919424
7958144,Macroregiunea Patru,422878223,Hunedoara Timișană,Q755888
7958144,Macroregiunea Patru,461882538,Beloț,Q12081774
7958144,Macroregiunea Patru,463296082,Aricioaia,Q12079414
3245175,,7128900790,Monumentul Victimelor Pogromului,Q18545517
7958144,Macroregiunea Patru,207386458,Chier,Q755949
7958144,Macroregiunea Patru,444654986,Constantinești,Q12112453
